4,Frosty Blaze,8,$4.00,30.2kg,222244,T A Green,11.69,
5,Birds Fly High,7,$7.50,33.3kg,355555,Peter Henley,15.93,
Scratched,Rich Lister,,,,,,,
Scratched,React Respond,,,,,,,
Winners Time: 36.42,|,Margins: 1tL2L8L,|,Owned/Raced by: I Pave Opawa Syndicate,|,Trained by: W & T Steele,,
Sectional 1: 9.03 (Crackling Gal),Sectional 2: 20.50 (Crackling Gal),Run home: 15.92,,,,,,
ENJOY THE PERKS (1) - collided first turn.,,,,,,,,
PUZZLE TIN (3) - checked entering the first turn shifting out off heels.,,,,,,,,
BIRDS FLY HIGH (7) - shifted in first turn making contact on several occasions losing ground.,,,,,,,,
FROSTY BLAZE (8) - collided first turn.,,,,,,,,
,,,,,,,,
,,,,,,,,
FULL RESULTS,Race 4,Trophies Plus Sprint,"C2 318 $1,685.00",Photo Finish,,,,
PLACE,DOG,BOX,SP,WEIGHT,BENDS,TRAINER,MARGIN,
1,Madam Bucks,3,$2.00,27.9kg,211,G N Pomeroy,,
2=,Always Dreaming,4,$10.40,29.2kg,742,G Farrell,0.09,
2=,Bigtime Gal,1,$8.10,27.4kg,122,R & N O'Regan,0.09,
4,Big Time Rusty,2,$18.40,27.5kg,634,Agent/Williams,0.09,
5,Digger Ace,6,$3.80,34.1kg,465,J Udy & D Cottam,3.4,
6,Snoopy's Hero,8,$18.00,30.3kg,556,D Ray,4.16,
Fell,Tribal Conquest,5,$18.90,33.2kg,3f,R & L Udy,,
Fell,Just Nia,7,$16.10,24.8kg,8f,M Black,,
Scratched,Bigtime Lovie,,,,,,,
Scratched,Big Time Rose,,,,,,,
Winners Time: 19.22,|,Margins: hHDH,|,Owned/Raced by: G N Pomeroy,|,Trained by: G N Pomeroy,,
Sectional 1: 4.62 (Bigtime Gal),Run home: 14.60,,,,,,,
BIGTIME GAL (1) - contacted from behind back straight. Collided first turn.,,,,,,,,
BIG TIME RUSTY (2) - bumped after the start shifting in then tightened making contact losing ground. Shifted off heels first turn.,,,,,,,,
MADAM BUCKS (3) - bumped after the start then shifted in across heels back straight making contact.,,,,,,,,
ALWAYS DREAMING (4) - slow away. Checked racing toward the first turn. Inconvenienced first turn.,,,,,,,,
TRIBAL CONQUEST (5) - collided first turn becoming unbalanced and falling. Regained footing to finish the event some distance from the field. Veterinary examination revealed no abnormality.,,,,,,,,
DIGGER ACE (6) - contact several occasions back straight. Hampered by fallen runner first turn shifting wide losing ground.,,,,,,,,
JUST NIA (7) - tightened making contact for a distance back straight. Hampered by fallen runner first turn becoming unbalanced and falling. Regained footing to finish the event some distance from the field. Veterinary examination revealed no abnormality.,,,,,,,,
SNOOPY'S HERO (8) - contact for a distance back straight. Inconvenienced first turn.,,,,,,,,
,,,,,,,,
,,,,,,,,
FULL RESULTS,Race 5,Carol's TAB Taipa Tavern Stakes,"C2 527 $2,860.00",Photo Finish,,,,
PLACE,DOG,BOX,SP,WEIGHT,BENDS,TRAINER,MARGIN,
1,Rod's Girl,6,$1.80,27.2kg,42211,J Udy & D Cottam,,
2,Pam Arising,4,$13.50,26.7kg,33322,S O'Neill,1.63,
3,Jinja Nice,3,$4.10,28.3kg,11133,E Potts,4.14,
4,Opawa Nemo,1,$7.00,31.2kg,76544,W & T Steele,5.82,
5,Flying Huey,2,$14.60,31.9kg,24465,M Black,9.71,
6,Kapai Tahi,8,$23.00,29.7kg,55656,R & L Udy,10.85,
7,Talkabout Sophie,5,$38.40,29.2kg,87777,M Black,14.17,
8,Sue Zooki,7,$21.00,27.3kg,68888,T A Green,24.07,
Scratched,Bigtime Kiowa,,,,,,,
Scratched,Kai Nan,,,,,,,
Winners Time: 31.29,|,Margins: 1tL2hL1tL,|,Owned/Raced by: A J Christiansen,|,Trained by: J Udy & D Cottam,,
Sectional 1: 4.68 (Jinja Nice),Sectional 2: 16.01 (Jinja Nice),Run home: 15.28,,,,,,
OPAWA NEMO (1) - steadied off heels first turn.,,,,,,,,
FLYING HUEY (2) - tightened making contact first turn loosing ground.,,,,,,,,
JINJA NICE (3) - contact first turn.,,,,,,,,
ROD'S GIRL (6) - shifted in off heels after the start.,,,,,,,,
TALKABOUT SOPHIE (9/5) - slow away. Collided first turn losing ground.,,,,,,,,
SUE ZOOKI (10/7) - collided first turn losing ground. Veterinary examination revealed no abnormality.,,,,,,,,
,,,,,,,,
,,,,,,,,
FULL RESULTS,Race 6,Sportsbowl Function Centre Sprint,"C1 318 $1,450.00",Photo Finish,,,,
PLACE,DOG,BOX,SP,WEIGHT,BENDS,TRAINER,MARGIN,
1,Agbeze,8,$6.50,26.2kg,121,M Black,,
2,Smash Out,3,$5.70,31.9kg,212,R & L Udy,0.43,
3,Noise Maker,2,$3.00,29.8kg,443,N P Green,2.02,
4,Ma Chere,4,$11.90,26.3kg,554,S O'Neill,3.68,
5,Fall Gracefully,5,$4.80,26.4kg,335,M Prangley,4.24,
6,Coober Pedy,6,$17.40,30.6kg,866,R & N O'Regan,4.97,
7,Big Time Ricky,7,$8.30,31.9kg,777,Agent/Williams,6.78,
8,In Focus,1,$15.20,31.6kg,688,P W Cleaver,9.69,
Scratched,Small Boy,,,,,,,
Scratched,My Bro Bobby,,,,,,,
Winners Time: 19.15,|,Margins: hL1hL1tL,|,Owned/Raced by: M Black,|,Trained by: M Black,,
Sectional 1: 4.68 (Agbeze),Run home: 14.47,,,,,,,
IN FOCUS (1) - steadied when tightened first turn. Checked getting on heels rounding the bend.,,,,,,,,
NOISE MAKER (2) - bumped start. Collided final bend.,,,,,,,,
