1,Opawa Di,5,$3.00,30.4kg,111,J & D Fahey,,
2,Ezra Blueblood,4,$3.90,37.3kg,222,J T McInerney,0.8,
3,Blazing Banjo,3,$9.20,36.3kg,333,J T McInerney,2.6,
4,Homebush Aimee,7,$23.00,30.0kg,544,J T McInerney,4.4,
5,Mitcham Reado,8,$9.20,31.2kg,455,J T McInerney,4.7,
6,Homebush Velma,2,$5.00,31.7kg,876,J T McInerney,5.2,
7,Chicago Head,1,$8.50,27.9kg,767,J T McInerney,7.2,
8,Cosmic Marty,6,$36.50,25.8kg,688,J T McInerney,10.7,
Scratched,Pretty Keen,,,,,,,
Scratched,Homebush Reed,,,,,,,
Winners Time: 23.27,|,Margins: tL1tL1tL,|,Owned/Raced by: Opawa Racing Limited,|,Trained by: J & D Fahey,,
Sectional 1: 5.36 (Opawa Di),Sectional 2: 16.05 (Opawa Di),Run home: 7.22,,,,,,
CHICAGO HEAD (1) - jostled with HOMEBUSH VELMA prior to the bend.,,,,,,,,
HOMEBUSH VELMA (2) - placed in tight quarters in the run to the bend before jostling with CHICAGO HEAD. Awkwardly placed on heels entering the bend.,,,,,,,,
BLAZING BANJO (3) - boxed first.,,,,,,,,
OPAWA DI (5) - jostled with COSMIC MARTY early stages.,,,,,,,,
COSMIC MARTY (6) - jostled with OPAWA DI early stages. Squeezed for racing room entering the bend losing ground.,,,,,,,,
,,,,,,,,
,,,,,,,,
FULL RESULTS,Race 4,SOUTHLAND & OTAGO PHOTO FINISH,"C2 390 $1,685.00",Photo Finish,,,,
PLACE,DOG,BOX,SP,WEIGHT,BENDS,TRAINER,MARGIN,
1,Sonja,1,$3.10,26.7kg,411,D J Lane,,
2,It's A Joke,5,$7.50,32.3kg,622,J T McInerney,3.3,
3,Cool Beans,6,$14.60,30.9kg,733,J T McInerney,6.3,
4,Lucky Scar,7,$9.60,32.2kg,554,R Wales,7.6,
5,Homebush Rapper,2,$13.30,30.8kg,145,J T McInerney,8.9,
6,Sozin's Symphony,4,$8.10,27.9kg,876,J T McInerney,9.2,
7,Opal Hunter,8,$7.40,29.1kg,267,J T McInerney,9.7,
8,Homebush George,3,$4.40,35.3kg,388,J T McInerney,11.5,
Scratched,Pretty Keen,,,,,,,
Scratched,Homebush Reed,,,,,,,
Winners Time: 23.19,|,Margins: 3qL3L1qL,|,Owned/Raced by: D Lane & J Arthur,|,Trained by: D J Lane,,
Sectional 1: 5.43 (Homebush Rapper),Sectional 2: 16.07 (Sonja),Run home: 7.12,,,,,,
HOMEBUSH GEORGE (3) - forced down the track early stages. Squeezed for racing room entering the bend being dragged down and losing ground. Referred to the Veterinarian and cleared of injury.,,,,,,,,
SOZIN'S SYMPHONY (4) - contacted from the outside early stages being bumped down the track in consequence. Jostled with COOL BEANS prior to the bend losing ground.,,,,,,,,
IT'S A JOKE (5) - slow early.,,,,,,,,
COOL BEANS (6) - dictated down the track early stages. Jostled with SOZIN'S SYMPHONY prior to the bend.,,,,,,,,
LUCKY SCAR (7) - slow early. Hampered entering the bend.,,,,,,,,
OPAL HUNTER (8) - shifted down the track early stages hampering inside runners.,,,,,,,,
,,,,,,,,
,,,,,,,,
FULL RESULTS,Race 5,CONGRATULATIONS MISS PAIGE,"C1 457 $2,505.00",Photo Finish,,,,
PLACE,DOG,BOX,SP,WEIGHT,BENDS,TRAINER,MARGIN,
