Giraffe Club,4,4.2919530265841335
Big Time Benny,8,7.58187113603054
Summer Glee,1,8.109780530856193
Tuff Temptress,3,8.91405628598243
Chat Ya Later,2,9.442296658485093
Rose And Crown,7,9.955737192965051
Nuclear Jewel,6,9.964900319695806
Arm Turner,5,10.76209234527147
Big Time Fairy,8,5.205775650619359
Born Fab,2,6.2530312990838
Bigtime Chris,6,8.490520454090305
Little Scamp,3,8.805914474059737
Punch On Ruby,1,8.839996387844195
Dino The Fox,4,8.897143839240359
Fool's Russian,7,9.838915979670588
Bigtime Ronnie,5,11.174466698312246
Zipping Luther,4,5.7460346592485445
Allegro Will,6,6.880120447258127
Spring Fox,8,6.942084264950825
Bigtime Daisy,5,7.346876067524123
Big Time Kevin,7,7.469845057023107
Bigtime Kate,3,10.884285835921421
Gray Bale,1,11.327224061879301
Allegro Lanie,2,11.570140441584705
Giraffe Club,4,4.2919530265841335
Big Time Benny,8,7.58187113603054
Summer Glee,1,8.109780530856193
Tuff Temptress,3,8.91405628598243
Chat Ya Later,2,9.442296658485093
Rose And Crown,7,9.955737192965051
Nuclear Jewel,6,9.964900319695806
Arm Turner,5,10.76209234527147
Big Time Fairy,8,5.205775650619359
Born Fab,2,6.2530312990838
Bigtime Chris,6,8.490520454090305
Little Scamp,3,8.805914474059737
Punch On Ruby,1,8.839996387844195
Dino The Fox,4,8.897143839240359
Fool's Russian,7,9.838915979670588
Bigtime Ronnie,5,11.174466698312246
Zipping Luther,4,5.7460346592485445
Allegro Will,6,6.880120447258127
Spring Fox,8,6.942084264950825
Bigtime Daisy,5,7.346876067524123
Big Time Kevin,7,7.469845057023107
Bigtime Kate,3,10.884285835921421
Gray Bale,1,11.327224061879301
Allegro Lanie,2,11.570140441584705
Articulator,7,4.378091317391438
Sub Twenty Three,2,5.819493689578774
Bigtime Cutie,3,9.11085521270608
Allegro Lexxi,6,9.715484695003845
Big Time Lebron,1,9.778984594971192
Bigtime Honey,5,9.829784514945066
Cawbourne Moss,8,10.71795032891456
Electrical Storm,4,11.139219294271694
Big Time Tina,2,4.891949904751819
Big Time Gwyn,1,4.900457643716605
Funky Facts,4,5.688031193599631
Big Time Spot,7,7.796182615003691
Bigtime Banjo,5,10.067771891794015
Bigtime Bee,6,10.56133112869958
Bigtime Sheer,8,10.702922600974453
Big Time Vegas,8,5.167470558880275
Trojan Hoarse,3,5.948867422743346
Big Time Frosty,5,8.340971499931749
Big Time Billie,4,8.578172519799596
Cheese And Chalk,7,9.62649757339793
Bigtime Emjay,2,9.68114922223312
Bigtime Lizzy,6,9.827558191213688
Big Time Pluto,1,10.753925217129222
Big Time Eden,5,6.431774257585648
Big Time Amber,4,6.6699881189777095
Novo Ollie,3,7.350599151526454
Dangerous Di,6,8.129048020004083
Big Time Mac,8,8.699984503014404
Bigtime Bailey,2,8.969984022073472
Tuff Treasure,7,9.346759666725344
Grunty Mama,1,9.792110217222593
Meandering,5,5.79542719581968
Double That,1,6.106451911158839
Bigtime Alfie,7,8.405180204477514
Dyna Diode,6,8.672670289505666
Tuff Mr. Tee,4,8.695645299864271
Big League Diva,8,8.951503369766934
Bill's Barker,2,9.730313007738063
Penny Mowhawk,3,10.007488340792069
Broke Brad,1,5.524288190323364
Bigtime Bruno,7,6.44997972491809
Bigtime Levi,2,6.627145866672444
Bigtime Benji,6,7.206521668108491
Big Time Trae,5,7.405947424961808
Bigtime Diesel,3,8.090174678723558
Woman No Cry,4,8.646711950071353
Big Time Jackson,2,4.281120447024337
Bigtime Tank,1,5.3854153738621
Bigtime Leads,6,5.866720612588906
Big Time Kobe,4,6.68308032047274
Cheeseball,3,7.600069884490173
Tuff Knight,8,7.747897330756001
Ohana Lad,1,5.674863241059916
Belmonts,6,7.461997360733734
Double Change,2,7.965711468287188
Allegro Kyle,5,8.13166379054317
Here's Hemi,4,8.286790915162765
Mickey Mowhawk,3,9.035181989492411
Paradox Prince,7,9.51999663283103
Black Mags,8,9.53622389981881
Triple What,1,4.448580387508406
Diamond Geezer,8,7.656400258772971
Yasawa Lights,2,8.526445742724444
White Comet,4,8.821157172278841
Trajan,6,9.151718430524237
Plan Stan,7,9.571622962800344
Paris End,5,9.592251460565
Jacks Point,3,10.421211463329877
Giraffe Club,4,4.2919530265841335
Big Time Benny,8,7.58187113603054
Summer Glee,1,8.109780530856193
Tuff Temptress,3,8.91405628598243
Chat Ya Later,2,9.442296658485093
Rose And Crown,7,9.955737192965051
Nuclear Jewel,6,9.964900319695806
Arm Turner,5,10.76209234527147
Big Time Fairy,8,5.205775650619359
Born Fab,2,6.2530312990838
Bigtime Chris,6,8.490520454090305
Little Scamp,3,8.805914474059737
Punch On Ruby,1,8.839996387844195
Dino The Fox,4,8.897143839240359
Fool's Russian,7,9.838915979670588
Bigtime Ronnie,5,11.174466698312246
Zipping Luther,4,5.7460346592485445
Allegro Will,6,6.880120447258127
Spring Fox,8,6.942084264950825
Bigtime Daisy,5,7.346876067524123
Big Time Kevin,7,7.469845057023107
Bigtime Kate,3,10.884285835921421
Gray Bale,1,11.327224061879301
Allegro Lanie,2,11.570140441584705
Articulator,7,4.378091317391438
Sub Twenty Three,2,5.819493689578774
Bigtime Cutie,3,9.11085521270608
Allegro Lexxi,6,9.715484695003845
Big Time Lebron,1,9.778984594971192
Bigtime Honey,5,9.829784514945066
Cawbourne Moss,8,10.71795032891456
Electrical Storm,4,11.139219294271694
Big Time Tina,2,4.891949904751819
Big Time Gwyn,1,4.900457643716605
Funky Facts,4,5.688031193599631
Big Time Spot,7,7.796182615003691
